company,valuation,industry,city,country,continent,year_founded,funding,select_investors,year_joined
6Sense,5000000000,Artificial intelligence,San Francisco,United States,North America,2013,426000000,"Venrock, Battery Ventures, Insight Partners",2021
Noom,4000000000,Health,New York,United States,North America,2006,657000000,"Qualcomm Ventures, Samsung Ventures, Silver Lake",2021
Yixia,3000000000,Mobile & telecommunications,Beijing,China,Asia,2011,775000000,"Sequoia Capital China, Sina Weibo, Kleiner Perkins Caufield & Byers, Redpoint Ventures",2015
Transmit Security,3000000000,Cybersecurity,Tel Aviv,Israel,Asia,2014,583000000,"General Atlantic, Insight Partners, Vintage Investment Partners",2021
LaunchDarkly,3000000000,Internet software & services,Oakland,United States,North America,2014,330000000,"Uncork Capital, Threshold Ventures, Bloomberg Beta",2021
PolicyBazaar,2000000000,Fintech,Gurgaon,India,Asia,2008,634000000,"Info Edge, Softbank Capital",2019
Afiniti,2000000000,Artificial intelligence,Hamilton,Bermuda,North America,2006,120000000,GAM Holding,2017
ASAPP,2000000000,Artificial intelligence,New York,United States,North America,2014,380000000,"March Capital Partners, HOF Capital, Emergence Capital Partners",2021
Public,1000000000,Fintech,New York,United States,North America,2008,309000000,"Accel, Greycroft, Advancit Capital",2021
SmartMore,1000000000,Artificial Intelligence,Shenzhen,China,Asia,2019,300000000,"IDG Capital, ZhenFund, Sequoia Capital China",2021
Sunbit,1000000000,Fintech,Los Angeles,United States,North America,2016,210000000,"Zeev Ventures, Group11, Chicago Ventures",2021
TangoMe,1000000000,Mobile & telecommunications,Mountain View,United States,North America,2009,361000000,"Draper Fisher Jurtson, Qualcomm Ventures, Alibaba Group",2014
Bringg,1000000000,"Supply chain, logistics, & delivery",Tel Aviv,Israel,Asia,2013,185000000,"Salesforce Ventures, next47, Pereg Ventures",2021
C2FO,1000000000,Fintech,Leawood,United States,North America,2008,538000000,"Union Square Ventures, Summerhill Venture Partners, Mithril Capital Management",2019
Heyday,1000000000,E-commerce & direct-to-consumer,Chicago,United States,North America,2017,800000000,"Khosla Ventures,General Catalyst, Victory Park Capital",2021
NoBroker,1000000000,Internet software & services,Bengaluru,India,Asia,2014,424000000,"General Atlantic, Elevation Capital, BEENEXT",2021
Noname Security,1000000000,Cybersecurity,Palo Alto,United States,North America,2020,220000000,"Insight Partners, Lightspeed Venture Partners, CyberStarts",2021
Snorkel AI,1000000000,Artificial intelligence,Palo Alto,United States,North America,2019,135000000,"Greylock Partners, Google Ventures, BlackRock",2021
Solo.io,1000000000,Internet software & services,Cambridge,United States,North America,2017,172000000,"True Ventures, Altimeter Capital, Redpoint Ventures",2021
SoundHound,1000000000,Artificial intelligence,Santa Clara,United States,North America,2005,215000000,"Tencent Holdings, Walden Venture Capital, Global Catalyst Partnera",2018
Splashtop,1000000000,Internet software & services,San Jose,United States,North America,2006,114000000,"Storm Ventures, DFJ DragonFund, New Enterprise Associates",2021
Bytedance,180000000000,Artificial intelligence,Beijing,China,Asia,2012,8000000000,"Sequoia Capital China, SIG Asia Investments, Sina Weibo, Softbank Group",2017
SpaceX,100000000000,Other,Hawthorne,United States,North America,2002,7000000000,"Founders Fund, Draper Fisher Jurvetson, Rothenberg Ventures",2012
